Construction Type,New Construction,Elevator,Floors In The Building,Floor Area,Number Of Rooms,Number Of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Children Are Welcome,Pets Allowed,Utility Payments,Duration,Date (Year),Date (Month),Date (Day),Amenities (Status),Appliances (Status),Parking (Status),Price (Usd/Month),Address (Street Types),Address (City/Town)
Monolith,Yes,No,3.0,46.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Euro Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,572.0,Ara Sargsyan Street,Yerevan
Monolith,Yes,Yes,16.0,62.0,2.0,1.0,3.0,9.0,Closed Balcony,Not Specified,Major Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1400.0,Not Specified,Yerevan
Monolith,Yes,Yes,12.0,50.0,2.0,1.0,2.0,7.0,Not Specified,Not Specified,Euro Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1040.0,Shinararner Street,Yerevan
Stone,Yes,Yes,6.0,32.0,2.0,1.0,2.0,1.0,Not Specified,Not Specified,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,312.0,Nor Nork,Yerevan
Stone,No,Yes,9.0,80.0,3.0,1.0,2.0,2.0,Not Specified,Not Specified,Old Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,936.0,Not Specified,Yerevan
Stone,No,No,2.0,55.0,2.0,1.0,2.0,1.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Not Specified,Yerevan
Stone,No,No,4.0,30.0,1.0,1.0,2.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Leningradyan Street,Yerevan
Monolith,Yes,Yes,18.0,60.0,2.0,1.0,3.0,17.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1800.0,Not Specified,Yerevan
Stone,No,No,5.0,68.0,2.0,1.0,2.0,4.0,Open Balcony,Not Specified,Euro Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1300.0,Bagratunyats Street,Yerevan
Panels,No,Yes,9.0,65.0,2.0,1.0,2.0,3.0,Closed Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Not Specified,Yerevan
Panels,No,Yes,9.0,48.0,2.0,1.0,2.0,2.0,Open Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Kajaznuni Street,Yerevan
Stone,No,No,5.0,40.0,1.0,1.0,3.0,1.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Babayan Street,Yerevan
Panels,Yes,Yes,4.0,65.0,3.0,1.0,2.0,2.0,Not Specified,Not Specified,Euro Renovation,0.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1000.0,Paruyr Sevak Street,Yerevan
Stone,No,Yes,7.0,18.0,1.0,1.0,3.0,5.0,Not Specified,Partial Furniture,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,286.0,Not Specified,Yerevan
Panels,No,Yes,14.0,98.0,4.0,1.0,3.0,9.0,Closed Balcony,Not Specified,Partial Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Not Specified,Not Specified,Yes,676.0,Erebuni Street,Yerevan
Monolith,Yes,Yes,14.0,100.0,3.0,2.0,3.0,10.0,Multiple Balconies,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Not Specified,Yerevan
Stone,No,No,5.0,120.0,4.0,1.0,2.0,1.0,Multiple Balconies,Not Specified,Partial Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,598.0,Kochinyan,Yerevan
Stone,No,No,5.0,100.0,4.0,2.0,2.0,3.0,Closed Balcony,Not Specified,Major Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Avetis Aharonyan Street,Yerevan
Monolith,Yes,Yes,14.0,85.0,2.0,1.0,3.0,4.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Not Specified,Yerevan
Stone,No,No,5.0,65.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,1.0,Monthly,2023,1,7,Yes,Yes,Yes,1040.0,Erebuni Street,Yerevan
Stone,No,No,5.0,95.0,3.0,1.0,2.0,5.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1200.0,Ghapantsian Street,Yerevan
Stone,No,No,5.0,42.0,2.0,1.0,2.0,4.0,Closed Balcony,Not Specified,Cosmetic Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,390.0,Gyulikekhvyan Street,Yerevan
Monolith,Yes,Yes,5.0,64.0,3.0,1.0,3.0,4.0,Not Specified,Not Specified,Major Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1040.0,Halabyan Street,Yerevan
Panels,No,Yes,11.0,70.0,2.0,1.0,2.0,5.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Not Specified,910.0,Agatangeghos Street,Yerevan
Stone,No,No,5.0,77.0,3.0,1.0,2.0,1.0,Closed Balcony,Not Specified,Major Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Sisakyan Street,Yerevan
Panels,No,Yes,6.0,21.0,1.0,1.0,2.0,6.0,Closed Balcony,Not Specified,Cosmetic Renovation,0.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,468.0,Griboyedov Street,Yerevan
Stone,No,No,5.0,65.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,1.0,Monthly,2023,1,7,Yes,Yes,Yes,1040.0,Erebuni Street,Yerevan
Monolith,Yes,Yes,12.0,45.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Not Specified,Yerevan
Monolith,Yes,Yes,18.0,65.0,2.0,1.0,3.0,13.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1820.0,Leo Street,Yerevan
Monolith,Yes,Yes,15.0,60.0,2.0,1.0,3.0,10.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1300.0,Mesrop Mashtots Avenue,Yerevan
Monolith,Yes,Yes,15.0,53.0,2.0,1.0,3.0,11.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1500.0,Mesrop Mashtots Avenue,Yerevan
Monolith,Yes,Yes,15.0,65.0,2.0,1.0,3.0,8.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1690.0,Buzand,Yerevan
Stone,No,No,3.0,40.0,1.0,1.0,3.0,2.0,Open Balcony,Partial Furniture,Partial Renovation,0.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,260.0,Not Specified,Yerevan
Monolith,Yes,Yes,17.0,67.0,2.0,1.0,3.0,14.0,Open Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Not Specified,1900.0,Amiryan Street,Yerevan
Panels,No,Yes,9.0,61.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Old Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Yes,468.0,Arno Babajanyan Street,Yerevan
Stone,No,No,5.0,55.0,2.0,1.0,2.0,2.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,442.0,Not Specified,Yerevan
Monolith,Yes,Yes,18.0,45.0,2.0,1.0,3.0,17.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1650.0,Amiryan Street,Yerevan
Panels,No,Yes,9.0,70.0,2.0,1.0,3.0,3.0,Not Specified,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Sundukyan Street,Yerevan
Monolith,Yes,Yes,14.0,56.0,2.0,1.0,3.0,9.0,Open Balcony,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1600.0,Khorenatsi Street,Yerevan
Panels,No,Yes,9.0,70.0,2.0,2.0,2.0,9.0,Closed Balcony,Not Specified,Partial Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,442.0,Not Specified,Yerevan
Panels,Yes,Yes,13.0,45.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Not Specified,Yerevan
Monolith,Yes,Yes,12.0,33.0,2.0,1.0,2.0,2.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,416.0,Norashen District,Yerevan
Stone,No,Yes,14.0,78.0,3.0,1.0,2.0,1.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1040.0,Hakob Hakobyan Street,Yerevan
Stone,No,No,5.0,75.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Arshakunyats Avenue,Yerevan
Stone,No,No,4.0,80.0,3.0,1.0,2.0,1.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,520.0,Gusan Sheram,Yerevan
Stone,No,No,5.0,80.0,4.0,1.0,2.0,1.0,Open Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Not Specified,Not Specified,Yes,910.0,Aram Khachatryan Street,Yerevan
Panels,No,No,5.0,40.0,2.0,1.0,2.0,5.0,Closed Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,900.0,Rubiniants Street,Yerevan
Stone,No,No,5.0,70.0,2.0,1.0,2.0,2.0,Closed Balcony,Not Specified,Major Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Tigran Mets Avenue,Yerevan
Panels,No,No,9.0,60.0,2.0,1.0,2.0,5.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,520.0,Not Specified,Yerevan
Stone,No,No,4.0,30.0,1.0,1.0,2.0,1.0,Not Specified,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Yes,650.0,Shinararner Street,Yerevan
Monolith,Yes,Yes,12.0,58.0,2.0,1.0,3.0,8.0,Open Balcony,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1100.0,Teryan Street,Yerevan
Monolith,Yes,Yes,14.0,45.0,2.0,1.0,3.0,9.0,Not Specified,Not Specified,Designer Renovation,1.0,2.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,955.0,Mesrop Mashtots Avenue,Yerevan
Stone,No,Yes,6.0,36.0,2.0,1.0,3.0,4.0,Not Specified,Not Specified,Major Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1040.0,Abovyan Street,Yerevan
Monolith,Yes,Yes,14.0,85.0,2.0,2.0,3.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Tsarav Aghbyur Street,Yerevan
Monolith,Yes,Yes,8.0,170.0,4.0,2.0,2.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,2600.0,Pushkin Street,Yerevan
Panels,No,Yes,9.0,52.0,2.0,2.0,2.0,4.0,Closed Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Avan Street,Yerevan
Monolith,Yes,Yes,12.0,64.0,2.0,1.0,3.0,7.0,Open Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1300.0,Aram Khachatryan Street,Yerevan
Panels,No,Yes,9.0,70.0,2.0,1.0,2.0,8.0,Open Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Avanarinj Microdistrict,Yerevan
Monolith,Yes,Yes,14.0,85.0,2.0,2.0,3.0,14.0,Multiple Balconies,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Tsarav Aghbyur Street,Yerevan
Monolith,Yes,Yes,8.0,46.0,2.0,1.0,3.0,6.0,Not Specified,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1300.0,Adonts Street,Yerevan
Monolith,Yes,Yes,14.0,85.0,2.0,2.0,3.0,14.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,900.0,Tsarav Aghbyur Street,Yerevan
Monolith,Yes,Yes,8.0,120.0,3.0,2.0,3.0,8.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Not Specified,1235.0,Northern Avenue,Yerevan
Stone,No,No,5.0,52.0,2.0,1.0,2.0,4.0,Closed Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,546.0,Not Specified,Yerevan
Stone,Yes,No,3.0,90.0,3.0,1.0,2.0,1.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1800.0,Not Specified,Yerevan
Stone,No,No,5.0,46.0,2.0,1.0,2.0,3.0,Open Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Yes,546.0,Artashisyan Street,Yerevan
Stone,No,No,2.0,30.0,1.0,1.0,2.0,1.0,Not Specified,Not Specified,Major Renovation,2.0,0.0,1.0,Monthly,2023,1,7,Yes,Yes,Yes,1100.0,Not Specified,Yerevan
Panels,No,No,5.0,30.0,2.0,1.0,2.0,3.0,Not Specified,Not Specified,Cosmetic Renovation,1.0,2.0,1.0,Daily,2023,1,7,Yes,Yes,Not Specified,758.0,Jughayi Street,Yerevan
Monolith,Yes,Yes,20.0,60.0,2.0,1.0,3.0,16.0,Open Balcony,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1000.0,Aram Street,Yerevan
Monolith,Yes,Yes,8.0,44.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1040.0,Nikoghayos Adonts Street,Yerevan
Panels,No,Yes,10.0,98.0,3.0,1.0,2.0,2.0,Open Balcony,Not Specified,Cosmetic Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1000.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,8.0,100.0,3.0,2.0,3.0,8.0,Open Balcony,Not Specified,Designer Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1820.0,Adonts Street,Yerevan
Monolith,Yes,Yes,23.0,73.0,2.0,1.0,3.0,9.0,Open Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1200.0,Tsitsernakaberd Highway,Yerevan
Monolith,Yes,Yes,8.0,103.0,3.0,1.0,3.0,4.0,Multiple Balconies,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1700.0,Adonts Street,Yerevan
Stone,No,No,5.0,80.0,3.0,1.0,2.0,4.0,Multiple Balconies,Not Specified,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1040.0,Gyulbenkyan Street,Yerevan
Monolith,No,Yes,11.0,65.0,2.0,1.0,2.0,7.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1050.0,Mesrop Mashtots Avenue,Yerevan
Stone,Yes,Yes,8.0,110.0,3.0,1.0,2.0,4.0,Multiple Balconies,Not Specified,Euro Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1820.0,Paruyr Sevak Street,Yerevan
Stone,No,No,4.0,44.0,2.0,1.0,2.0,1.0,Closed Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Halabyan Street,Yerevan
Stone,No,No,5.0,60.0,3.0,1.0,2.0,1.0,Not Specified,Not Specified,Euro Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Not Specified,1222.0,Garegin Nzhdeh Street,Yerevan
Stone,No,No,5.0,80.0,3.0,1.0,2.0,3.0,Open Balcony,Not Specified,Designer Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Mazmanyan Street,Yerevan
Stone,No,No,5.0,130.0,3.0,1.0,3.0,2.0,Open Balcony,Not Specified,Major Renovation,1.0,2.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,1300.0,Tigran Mets Avenue,Yerevan
Monolith,Yes,No,3.0,55.0,2.0,1.0,2.0,3.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,754.0,Argishti Street,Yerevan
Stone,No,Yes,7.0,82.0,3.0,1.0,2.0,6.0,Closed Balcony,Not Specified,Cosmetic Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Not Specified,650.0,Arabkir Street,Yerevan
Stone,No,No,4.0,64.0,3.0,1.0,3.0,2.0,Not Specified,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1690.0,Mesrop Mashtots Avenue,Yerevan
Stone,No,Yes,9.0,75.0,3.0,2.0,2.0,5.0,Open Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1500.0,Aygedzor Street,Yerevan
Monolith,Yes,Yes,15.0,71.0,3.0,1.0,3.0,14.0,Multiple Balconies,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,2000.0,Argishti Street,Yerevan
